"PPTYP","Pension Plan Type","DTYP","Definition Type","CTYP","Contract Type","VAR","Variable","IND","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUS","Australia","2011","2011","PC","Percentage","0","Units",,,67.374,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUS","Australia","2012","2012","PC","Percentage","0","Units",,,69.219,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUS","Australia","2013","2013","PC","Percentage","0","Units",,,68.285,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUS","Australia","2014","2014","PC","Percentage","0","Units",,,67.352,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,63.589,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUS","Australia","2016","2016","PC","Percentage","0","Units",,,66.32,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,58.877,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUS","Australia","2018","2018","PC","Percentage","0","Units",,,75.616,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUS","Australia","2019","2019","PC","Percentage","0","Units",,,74.629,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUS","Australia","2020","2020","PC","Percentage","0","Units",,,74.544,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUS","Australia","2021","2021","PC","Percentage","0","Units",,,72.521,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUT","Austria","2015","2015","PC","Percentage","0","Units",,,91.435,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUT","Austria","2016","2016","PC","Percentage","0","Units",,,91.622,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUT","Austria","2017","2017","PC","Percentage","0","Units",,,88.466,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,88.797,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUT","Austria","2019","2019","PC","Percentage","0","Units",,,90.198,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUT","Austria","2020","2020","PC","Percentage","0","Units",,,90.285,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","AUT","Austria","2021","2021","PC","Percentage","0","Units",,,89.796,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CAN","Canada","2011","2011","PC","Percentage","0","Units",,,69.035,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CAN","Canada","2012","2012","PC","Percentage","0","Units",,,68.141,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CAN","Canada","2013","2013","PC","Percentage","0","Units",,,67.564,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CAN","Canada","2014","2014","PC","Percentage","0","Units",,,63.474,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CAN","Canada","2015","2015","PC","Percentage","0","Units",,,64.865,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CAN","Canada","2016","2016","PC","Percentage","0","Units",,,62.329,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,70.241,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CAN","Canada","2018","2018","PC","Percentage","0","Units",,,62.591,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CAN","Canada","2019","2019","PC","Percentage","0","Units",,,62.202,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CAN","Canada","2020","2020","PC","Percentage","0","Units",,,61.976,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CAN","Canada","2021","2021","PC","Percentage","0","Units",,,57.009,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CZE","Czech Republic","2011","2011","PC","Percentage","0","Units",,,21.869,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CZE","Czech Republic","2012","2012","PC","Percentage","0","Units",,,20.223,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CZE","Czech Republic","2013","2013","PC","Percentage","0","Units",,,18.441,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CZE","Czech Republic","2014","2014","PC","Percentage","0","Units",,,18.247,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CZE","Czech Republic","2015","2015","PC","Percentage","0","Units",,,18.248,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CZE","Czech Republic","2016","2016","PC","Percentage","0","Units",,,18.893,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CZE","Czech Republic","2017","2017","PC","Percentage","0","Units",,,20.131,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CZE","Czech Republic","2018","2018","PC","Percentage","0","Units",,,21.543,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CZE","Czech Republic","2019","2019","PC","Percentage","0","Units",,,22.668,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CZE","Czech Republic","2020","2020","PC","Percentage","0","Units",,,23.409,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","CZE","Czech Republic","2021","2021","PC","Percentage","0","Units",,,23.986,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","DNK","Denmark","2011","2011","PC","Percentage","0","Units",,,65.033,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","DNK","Denmark","2012","2012","PC","Percentage","0","Units",,,65.625,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3200","Employer contributions","ECT","Employers contributions as a percent of total contributions","DNK","Denmark","2013","2013","PC","Percentage","0","Units",,,67.079,,
