"COU","Country","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","PEN1A","Current retirement ages for a person who entered the labour force at age 22, men","2020","2020","YR","Years","0","Units",,,66,,
"AUS","Australia","PEN1B","Current retirement ages for a person who entered the labour force at age 22, women","2020","2020","YR","Years","0","Units",,,66,,
"AUS","Australia","PEN2A","Future retirement ages for a person who entered the labour force at age 22, men","2020","2020","YR","Years","0","Units",,,67,,
"AUS","Australia","PEN2B","Future retirement ages for a person who entered the labour force at age 22, women","2020","2020","YR","Years","0","Units",,,67,,
"AUS","Australia","PEN3A","Gross pension replacement rate, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,62.7,,
"AUS","Australia","PEN3B","Gross pension replacement rate, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,31.3,,
"AUS","Australia","PEN3C","Gross pension replacement rate, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,31.3,,
"AUS","Australia","PEN4A","Gross pension replacement rate, Female, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,59.8,,
"AUS","Australia","PEN4B","Gross pension replacement rate, Female, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,28.4,,
"AUS","Australia","PEN4C","Gross pension replacement rate, Female, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,28.4,,
"AUS","Australia","PEN5A","Gross pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,62.7,,
"AUS","Australia","PEN5B","Gross pension replacement rate, Mandatory and Voluntary, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,31.3,,
"AUS","Australia","PEN5C","Gross pension replacement rate, Mandatory and Voluntary, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,31.3,,
"AUS","Australia","PEN7A","Net pension replacement rate, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,70.3,,
"AUS","Australia","PEN7B","Net pension replacement rate, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,40.5,,
"AUS","Australia","PEN7C","Net pension replacement rate, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,39.1,,
"AUS","Australia","PEN8A","Net pension replacement rate, Female, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,67.1,,
"AUS","Australia","PEN8B","Net pension replacement rate, Female, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,36.8,,
"AUS","Australia","PEN8C","Net pension replacement rate, Female, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,36.4,,
"AUS","Australia","PEN9A","Net pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,70.3,,
"AUS","Australia","PEN9B","Net pension replacement rate, Mandatory and Voluntary, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,40.5,,
"AUS","Australia","PEN9C","Net pension replacement rate, Mandatory and Voluntary, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,39.1,,
"AUS","Australia","PEN10A","Gross pension wealth, Male, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,11.3,,
"AUS","Australia","PEN10B","Gross pension wealth, Male, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,5.7,,
"AUS","Australia","PEN10C","Gross pension wealth, Male, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,5.7,,
"AUS","Australia","PEN11A","Gross pension wealth, Female, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,11.9,,
"AUS","Australia","PEN11C","Gross pension wealth, Female, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,5.7,,
"AUS","Australia","PEN11B","Gross pension wealth, Female, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,5.7,,
"AUS","Australia","PEN12A","Net pension wealth, Male, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,12.7,,
"AUS","Australia","PEN12B","Net pension wealth, Male, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,7.3,,
"AUS","Australia","PEN12C","Net pension wealth, Male, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,7.1,,
"AUS","Australia","PEN13A","Net pension wealth, Female, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,13.3,,
"AUS","Australia","PEN13B","Net pension wealth, Female, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,7.3,,
"AUS","Australia","PEN13C","Net pension wealth, Female, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,7.2,,
"AUS","Australia","PEN6A","Tax treatment of pensions and pensioners, Worker at average earnings, men","2020","2020","PC","Percentage","0","Units",,,22.8,,
"AUS","Australia","PEN6B","Tax treatment of pensions and pensioners, Pensioner (at gross replacement rate of average earnings), men","2020","2020","PC","Percentage","0","Units",,,0,,
"AUS","Australia","PEN6C","Tax treatment of pensions and pensioners, Pensioner (at income equal to average earnings), men","2020","2020","PC","Percentage","0","Units",,,20.8,,
"AUS","Australia","PEN14","Fertility","2020","2020","CHLD","Children","0","Units",,,1.8,,
"AUS","Australia","PEN15A","Life expectancy at birth, Men","2020","2020","YR","Years","0","Units",,,81.2,,
"AUS","Australia","PEN15B","Life expectancy at birth, Women","2020","2020","YR","Years","0","Units",,,85.2,,
"AUS","Australia","PEN16A","Life expectancy at 65, Men","2020","2020","YR","Years","0","Units",,,20,,
"AUS","Australia","PEN16B","Life expectancy at 65, Women","2020","2020","YR","Years","0","Units",,,22.7,,
"AUS","Australia","PEN17A","Employment rate of older workers, 55-59","2020","2020","PC","Percentage","0","Units",,,71.5,,
"AUS","Australia","PEN17B","Employment rate of older workers, 60-64","2020","2020","PC","Percentage","0","Units",,,55.1,,
"AUS","Australia","PEN18","Old-age dependency ratio","2020","2020","PC","Percentage","0","Units",,,27.7,,
"AUS","Australia","PEN19A","Effective labour market exit age, men","2020","2020","YR","Years","0","Units",,,64.1,,
"AUS","Australia","PEN19B","Effective labour market exit age, women","2020","2020","YR","Years","0","Units",,,63.3,,
"AUS","Australia","PEN20A","Expected years in retirement, men","2020","2020","YR","Years","0","Units",,,21.3,,
"AUS","Australia","PEN20B","Expected years in retirement, women","2020","2020","YR","Years","0","Units",,,24.5,,
"AUS","Australia","PEN23A","Average worker earnings, national currency","2020","2020",,,"0","Units",,,90861,,
"AUS","Australia","PEN23B","Average worker earnings, USD market exchange rate","2020","2020","USD","US Dollar","0","Units",,,62529.7,,
"AUT","Austria","PEN1A","Current retirement ages for a person who entered the labour force at age 22, men","2020","2020","YR","Years","0","Units",,,65,,
"AUT","Austria","PEN1B","Current retirement ages for a person who entered the labour force at age 22, women","2020","2020","YR","Years","0","Units",,,60,,
"AUT","Austria","PEN2A","Future retirement ages for a person who entered the labour force at age 22, men","2020","2020","YR","Years","0","Units",,,65,,
"AUT","Austria","PEN2B","Future retirement ages for a person who entered the labour force at age 22, women","2020","2020","YR","Years","0","Units",,,65,,
"AUT","Austria","PEN3A","Gross pension replacement rate, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,74.1,,
"AUT","Austria","PEN3B","Gross pension replacement rate, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,74.1,,
"AUT","Austria","PEN3C","Gross pension replacement rate, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,57.3,,
"AUT","Austria","PEN4A","Gross pension replacement rate, Female, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,74.1,,
"AUT","Austria","PEN4B","Gross pension replacement rate, Female, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,74.1,,
"AUT","Austria","PEN4C","Gross pension replacement rate, Female, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,57.3,,
"AUT","Austria","PEN5A","Gross pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,74.1,,
"AUT","Austria","PEN5B","Gross pension replacement rate, Mandatory and Voluntary, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,74.1,,
"AUT","Austria","PEN5C","Gross pension replacement rate, Mandatory and Voluntary, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,57.3,,
"AUT","Austria","PEN7A","Net pension replacement rate, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,84.4,,
"AUT","Austria","PEN7B","Net pension replacement rate, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,87.1,,
"AUT","Austria","PEN7C","Net pension replacement rate, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,67.6,,
"AUT","Austria","PEN8A","Net pension replacement rate, Female, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,84.4,,
"AUT","Austria","PEN8B","Net pension replacement rate, Female, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,87.1,,
"AUT","Austria","PEN8C","Net pension replacement rate, Female, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,67.6,,
"AUT","Austria","PEN9A","Net pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,84.4,,
"AUT","Austria","PEN9B","Net pension replacement rate, Mandatory and Voluntary, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,87.1,,
"AUT","Austria","PEN9C","Net pension replacement rate, Mandatory and Voluntary, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,67.6,,
"AUT","Austria","PEN10A","Gross pension wealth, Male, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,13.7,,
"AUT","Austria","PEN10B","Gross pension wealth, Male, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,13.7,,
"AUT","Austria","PEN10C","Gross pension wealth, Male, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,10.6,,
"AUT","Austria","PEN11A","Gross pension wealth, Female, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,15,,
"AUT","Austria","PEN11C","Gross pension wealth, Female, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,11.6,,
"AUT","Austria","PEN11B","Gross pension wealth, Female, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,15,,
"AUT","Austria","PEN12A","Net pension wealth, Male, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,15.6,,
"AUT","Austria","PEN12B","Net pension wealth, Male, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,16.1,,
"AUT","Austria","PEN12C","Net pension wealth, Male, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,12.5,,
"AUT","Austria","PEN13A","Net pension wealth, Female, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,17,,
"AUT","Austria","PEN13B","Net pension wealth, Female, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,17.6,,
"AUT","Austria","PEN13C","Net pension wealth, Female, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,13.7,,
"AUT","Austria","PEN6A","Tax treatment of pensions and pensioners, Worker at average earnings, men","2020","2020","PC","Percentage","0","Units",,,11.8,,
"AUT","Austria","PEN6B","Tax treatment of pensions and pensioners, Pensioner (at gross replacement rate of average earnings), men","2020","2020","PC","Percentage","0","Units",,,20.8,,
"AUT","Austria","PEN6C","Tax treatment of pensions and pensioners, Pensioner (at income equal to average earnings), men","2020","2020","PC","Percentage","0","Units",,,25.5,,
"AUT","Austria","PEN14","Fertility","2020","2020","CHLD","Children","0","Units",,,1.5,,
"AUT","Austria","PEN15A","Life expectancy at birth, Men","2020","2020","YR","Years","0","Units",,,78.9,,
"AUT","Austria","PEN15B","Life expectancy at birth, Women","2020","2020","YR","Years","0","Units",,,83.8,,
"AUT","Austria","PEN16A","Life expectancy at 65, Men","2020","2020","YR","Years","0","Units",,,18.1,,
"AUT","Austria","PEN16B","Life expectancy at 65, Women","2020","2020","YR","Years","0","Units",,,21.4,,
"AUT","Austria","PEN17A","Employment rate of older workers, 55-59","2020","2020","PC","Percentage","0","Units",,,74.9,,
"AUT","Austria","PEN17B","Employment rate of older workers, 60-64","2020","2020","PC","Percentage","0","Units",,,30.4,,
"AUT","Austria","PEN17C","Employment rate of older workers, 65-69","2020","2020","PC","Percentage","0","Units",,,8.3,,
"AUT","Austria","PEN18","Old-age dependency ratio","2020","2020","PC","Percentage","0","Units",,,31.3,,
"AUT","Austria","PEN19A","Effective labour market exit age, men","2020","2020","YR","Years","0","Units",,,62,,
