time,run_id,r,rn,w,wn,p,KK,AA,BB,LL,HH,YY,CC,II,GG,INC,BQ,tauc,tauw,taur,taup,kappa,PP,pen_cohort_1,pen_cohort_2,pen_cohort_3,pen_cohort_4,pen_cohort_5,pen_cohort_6,pen_cohort_7,pen_cohort_8,pen_cohort_9,pen_cohort_10,pen_cohort_11,pen_cohort_12,pen_cohort_13,pen_cohort_14,pen_cohort_15,pen_cohort_16,c_coh_cohort_1,c_coh_cohort_2,c_coh_cohort_3,c_coh_cohort_4,c_coh_cohort_5,c_coh_cohort_6,c_coh_cohort_7,c_coh_cohort_8,c_coh_cohort_9,c_coh_cohort_10,c_coh_cohort_11,c_coh_cohort_12,c_coh_cohort_13,c_coh_cohort_14,c_coh_cohort_15,c_coh_cohort_16,y_coh_cohort_1,y_coh_cohort_2,y_coh_cohort_3,y_coh_cohort_4,y_coh_cohort_5,y_coh_cohort_6,y_coh_cohort_7,y_coh_cohort_8,y_coh_cohort_9,y_coh_cohort_10,y_coh_cohort_11,y_coh_cohort_12,y_coh_cohort_13,y_coh_cohort_14,y_coh_cohort_15,y_coh_cohort_16,l_coh_cohort_1,l_coh_cohort_2,l_coh_cohort_3,l_coh_cohort_4,l_coh_cohort_5,l_coh_cohort_6,l_coh_cohort_7,l_coh_cohort_8,l_coh_cohort_9,l_coh_cohort_10,l_coh_cohort_11,l_coh_cohort_12,l_coh_cohort_13,l_coh_cohort_14,l_coh_cohort_15,l_coh_cohort_16,a_coh_cohort_1,a_coh_cohort_2,a_coh_cohort_3,a_coh_cohort_4,a_coh_cohort_5,a_coh_cohort_6,a_coh_cohort_7,a_coh_cohort_8,a_coh_cohort_9,a_coh_cohort_10,a_coh_cohort_11,a_coh_cohort_12,a_coh_cohort_13,a_coh_cohort_14,a_coh_cohort_15,a_coh_cohort_16,v_coh_cohort_1,v_coh_cohort_2,v_coh_cohort_3,v_coh_cohort_4,v_coh_cohort_5,v_coh_cohort_6,v_coh_cohort_7,v_coh_cohort_8,v_coh_cohort_9,v_coh_cohort_10,v_coh_cohort_11,v_coh_cohort_12,v_coh_cohort_13,v_coh_cohort_14,v_coh_cohort_15,v_coh_cohort_16,VV_coh_cohort_1,VV_coh_cohort_2,VV_coh_cohort_3,VV_coh_cohort_4,VV_coh_cohort_5,VV_coh_cohort_6,VV_coh_cohort_7,VV_coh_cohort_8,VV_coh_cohort_9,VV_coh_cohort_10,VV_coh_cohort_11,VV_coh_cohort_12,VV_coh_cohort_13,VV_coh_cohort_14,VV_coh_cohort_15,VV_coh_cohort_16,tauc_rev,tauw_rev,taur_rev,total_tax_rev
0,1,0.7600216849387954,0.7600216849387954,1.0363869743341583,0.518927117024297,1.16,4.929690988049822,5.586661532521611,0.6569705399394886,2.7105869110260405,0.19405577536459898,7.4317934382295086,4.652573667399752,1.4264456867020998,1.3527740865802775,0.4626314065288569,0.7112070777753796,0.16,0.36818251534866114,0.0,0.13110961206017502,0.643,0.3683153467871086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.2270543934634094,0.3012958659442031,0.3833329899013676,0.44997012705676276,0.5253612996418571,0.5936794554641399,0.6755345726722934,0.7736980956898412,0.916856475406609,1.070633751329919,1.2765066046933076,1.5030701068433978,1.7221536800340935,1.8602420674281472,1.8037837842878688,1.4476981920296148,0.3203152437411648,0.4972145871757713,0.6558392205428488,0.6368958867824956,0.6005118715500515,0.4534571663612407,0.3107587949733091,0.16808555874835943,0.11785712071532582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25587071803293054,0.28652258617697224,0.2905422727725438,0.24369463421790652,0.1957150106441873,0.12286540076944008,0.06559787788859862,0.024804758744966765,0.014511753626175971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054793352587750824,0.15690859954698005,0.32378520845000686,0.5303623701530371,0.7876082420344281,1.0848068199443293,1.2869245883370983,1.4547495457687118,1.5579964911097157,1.7976444520784411,1.980617550233225,2.039840508251985,1.8899372537100088,1.4659217456961326,0.785136865284086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.23723582501144,-18.744163508157737,-12.58853216390262,-8.2792656768955,-5.456683670516783,-3.600948371634462,-2.435361069813897,-1.6712323533963869,-1.1512150819035127,-0.7922326563575474,-0.545886017437905,-0.3751163926443912,-0.26218558124521546,-0.19587442513746645,-0.16735011822672186,-0.16998134007324506,0.7444117867839602,1.0343045692130703,0.0,1.7787163559970307
1,1,0.7337490731803435,0.7337490731803435,1.0544103556731026,0.5971721539174193,1.16,4.928146339486737,5.586661532521611,0.6585151930348941,2.798170832447214,0.20116474697674125,7.442073079453282,4.662312895895803,1.483524601355965,1.241046722050811,0.4858852521266208,0.7005905793571194,0.16,0.3088086304164259,0.0,0.12483487401886578,0.643,0.3683153467871086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.23918870784371088,0.3167913324355174,0.4008036524061045,0.4658588705014973,0.5386732100920226,0.6025171192752692,0.6744506574435214,0.7667985449207718,0.8916036603535227,1.0328817984123027,1.2374320030322192,1.466179650238047,1.6919044754876411,1.8397933787185339,1.7906571937082667,1.4299157818138415,0.31206946852140244,0.4879443309126845,0.6511595724193298,0.6460985467871582,0.6261215865689296,0.49889258942650444,0.35755087247686324,0.2242975364250154,0.13555603659309817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2526461493546409,0.2847411926847897,0.2925511106107808,0.25273961550181134,0.21123438203633127,0.14590343193078023,0.08056663827833985,0.040346804748880104,0.017003045296799604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054793352587750824,0.15690859954698005,0.32378520845000686,0.5303623701530371,0.7876082420344281,1.0848068199443293,1.2869245883370983,1.4547495457687118,1.5579964911097157,1.7976444520784411,1.980617550233225,2.039840508251985,1.8899372537100088,1.4659217456961326,0.785136865284086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.361052104439512,-14.724508216291625,-10.484273907859938,-7.353964691674012,-5.131612896169412,-3.5560763084038944,-2.4901315320519872,-1.7512065865923605,-1.2302307383527862,-0.8673388142295476,-0.610253474074302,-0.425659890003717,-0.29972365409577717,-0.22329850501603088,-0.18765906611284475,-0.18468384076195982,0.7459700633433285,0.911115252821812,0.0,1.6570853161651407
2,1,0.7252673260381425,0.7252673260381425,1.0695256910311484,0.6085467177828605,1.16,5.023784550237131,5.682299743295181,0.6585151930348941,2.785990381429275,0.20103030430626537,7.515897980561586,4.712783952396573,1.5059873090703757,1.241046722050811,0.4907052034974767,0.6930171482911786,0.16,0.30119074134975415,0.0,0.1298217880267682,0.643,0.38682846129815296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3124242171174172,0.3124242171174172,0.3124242171174172,0.3124242171174172,0.3124242171174172,0.3124242171174172,0.3124242171174172,0.2431707852612866,0.3226569500596173,0.4092387975035719,0.4766529138678678,0.5506608263432045,0.6153166896896411,0.6871415857604305,0.7768708371333286,0.898880020371594,1.0386737623024311,1.2384532751567885,1.463902216724693,1.6842605710213907,1.8241844055865297,1.7660064060165515,1.4024304589962446,0.3139650119499956,0.48846132526048475,0.648460794611189,0.6396532467514465,0.6202296869123892,0.4937130444563091,0.35644011825900535,0.22452480371110936,0.13486318893979538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25493148927028364,0.2854089553522342,0.29158576622271914,0.25031427901708403,0.20950022348631436,0.14478603323470676,0.08144239555446887,0.040742272669482334,0.016991460038862052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058588162472694216,0.16859461260578704,0.3456501335357264,0.5564859429883764,0.8182445873439794,1.1142078303809488,1.3119394806757723,1.4756622431196407,1.568860721024751,1.8005040807194803,1.97871527357946,2.030597442163503,1.8714343934499915,1.4399886370732855,0.7618501176520428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.154595204130157,-14.445795577887218,-10.19609712267857,-7.103228064196162,-4.980674193553446,-3.4663596644747683,-2.4469735224329434,-1.7447678277188126,-1.231489834218032,-0.8650349660963427,-0.6098261137174371,-0.426957497907751,-0.3019726793426837,-0.22642360415563986,-0.1916635245356888,-0.19000369214473736,0.7540454323834517,0.897454524425069,0.0,1.6514999568085207
3,1,0.720117503426631,0.720117503426631,1.0788792581414668,0.6230213197601224,1.16,5.1155368898837335,5.774052082848377,0.6585151930348941,2.796238305489455,0.20262860116002115,7.609516566236366,4.775544172863615,1.535916890146618,1.241046722050811,0.49681746430165724,0.6903516000266197,0.16,0.2930325591956106,0.0,0.12949659279167333,0.643,0.39066577548737697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31552344584887754,0.31552344584887754,0.31552344584887754,0.31552344584887754,0.31552344584887754,0.31552344584887754,0.31552344584887754,0.24810762717576032,0.32879148203043196,0.417683391157602,0.4875642269009136,0.5644007941281999,0.6300748356227964,0.7025428713154922,0.7915085635268565,0.9095704850713009,1.0455960764704644,1.243953982854145,1.4634085275778081,1.6796896450739267,1.8138290251432418,1.7489805922333712,1.3815115782800182,0.31669820039622343,0.4933264509067961,0.6524752592641384,0.6408590247187084,0.6181152331485762,0.4927989195557036,0.35579929089376255,0.22655130716949023,0.13568575851681475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2579302221708046,0.28922774818136254,0.29402491260333763,0.2512951360197283,0.20916814271532144,0.14512789117550418,0.08174130208707471,0.04150039342017541,0.01721887847506754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05705399763093118,0.172119447601929,0.35884219055538047,0.5807501163861231,0.8468289275344785,1.1464404749558146,1.3421325887426563,1.4989099810339328,1.58528157967046,1.8142667939300874,1.9821692787940473,2.0281104547508835,1.8620053740287594,1.4250949184751625,0.7482221315418006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.851828836975734,-14.324323458965608,-10.02478903361313,-6.9247348164990745,-4.823475709348627,-3.372564380975789,-2.3895400923264343,-1.7164122589561732,-1.228937760197193,-0.8672713917748374,-0.6090665135922716,-0.42722118294811257,-0.3032983697235716,-0.22841641345246078,-0.19458796385116028,-0.19429107499845777,0.7640870676581785,0.8840216527192277,0.0,1.6481087203774063
4,1,0.715225837875495,0.715225837875495,1.0878901332747648,0.6375036625823278,1.16,5.21116542966257,5.869680622907619,0.6585151930348941,2.809524945390848,0.20443462978473834,7.709531251111376,4.844046216663738,1.5664671820795988,1.241046722050811,0.5033473190587641,0.689561420500537,0.16,0.2845912147353598,0.0,0.1294087452995961,0.643,0.39553193767605355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3194536295459656,0.3194536295459656,0.3194536295459656,0.3194536295459656,0.3194536295459656,0.3194536295459656,0.3194536295459656,0.25314753404727713,0.3353145899569696,0.425446264749273,0.4973070672214704,0.57685366237761,0.6452531319929103,0.7188128829821231,0.8082344257677645,0.9246703335640811,1.0561217962679994,1.2508558121836084,1.4682900971891952,1.6772601423976037,1.8069066119836794,1.737130506848621,1.3666837921092791,0.3189919749698275,0.4967789858502513,0.6583712035249513,0.6456117350999329,0.6199280576423999,0.49113094696106335,0.3555381392634927,0.22584768181479015,0.13547596523017705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26044872948554537,0.2920089691876425,0.29770712647605074,0.25394948696698366,0.21036272521631771,0.14499754283357005,0.08239872659501074,0.04146552819641306,0.017220738175937066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057005094457497615,0.17159456853152324,0.36555914909982257,0.5984452763025097,0.8768526986490414,1.1802828957804403,1.3787331406646153,1.5316221185105,1.6077346520984395,1.8295025902338238,1.9932888939026372,2.0275336251065124,1.8556717497023716,1.4143498120637443,0.7380366722113458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.512446265477802,-14.1245057024964,-9.950993928382681,-6.8178212868051284,-4.708994014674281,-3.27155557330625,-2.328115658474607,-1.6782736201619841,-1.210594901922041,-0.8666521671897051,-0.6114312388740769,-0.427249125324934,-0.3038643244357485,-0.22971286563868218,-0.1965516718823148,-0.19748940547778132,0.7750473946661981,0.8698400896265396,0.0,1.6448874842927377
5,1,0.7107128934565596,0.7107128934565596,1.0963145127398954,0.6520680673903829,1.16,5.3102497829162925,5.968764975917745,0.6585151930348941,2.8265864319216245,0.2064219305990747,7.8164125841985275,4.918407697722527,1.5979910604953078,1.241046722050811,0.510325491585874,0.6907790481922442,0.16,0.27590123929435956,0.0,0.12931682391221236,0.643,0.400730559484673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3236523261547853,0.3236523261547853,0.3236523261547853,0.3236523261547853,0.3236523261547853,0.3236523261547853,0.3236523261547853,0.25831472048925286,0.34199394208596035,0.43370662870036336,0.5063188006139211,0.5879961178507658,0.6590282973760553,0.7356151860151355,0.8257964420670161,0.9431994531307524,1.0724008450854714,1.2621508535777772,1.4749305678867017,1.6811254892238512,1.802444619378796,1.728731426164625,1.3560394549253456,0.32089165230458744,0.4997374853302595,0.662686673895274,0.6524360269343815,0.6255738682591173,0.49367401709887077,0.3544969803183886,0.2249283922695869,0.1350271610717918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26253495499022717,0.2943843516514368,0.30044989864738125,0.25787059943976465,0.21321854544927382,0.14651359232261907,0.08256676250881308,0.041298559224669976,0.017214153607521848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05703879460498879,0.1728414912496128,0.3678512057832956,0.6090515272854239,0.8998563411173482,1.2159359308393132,1.41728564055404,1.5712654968552258,1.640826668622589,1.851980361426347,2.006471000466433,2.035177729802817,1.8515099251330518,1.4063380911742824,0.7303115828719099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.139983857535867,-13.898388467032564,-9.823455043015922,-6.775236191099867,-4.641737030879415,-3.19774243650792,-2.2616651790899795,-1.636754291998552,-1.1853918422900542,-0.8548193592084194,-0.6117403029352723,-0.42943191217200893,-0.30423680290965344,-0.23041314566895973,-0.19790218392880193,-0.19970668158399846,0.7869452316356044,0.8549704101919422,0.0,1.6419156418275467
6,1,0.7064504924061674,0.7064504924061674,1.1043709271463709,0.6667309745243918,1.16,5.412796467864487,6.071311659894459,0.6585151930348941,2.846429986380811,0.2084563564607246,7.929129553327903,4.99802122747656,1.6300685457868092,1.241046722050811,0.5176846652131294,0.6941103839562842,0.16,0.2670340421231982,0.0,0.12924581646376562,0.643,0.4062861011059108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328139291089717,0.328139291089717,0.328139291089717,0.328139291089717,0.328139291089717,0.328139291089717,0.328139291089717,0.2636109762301727,0.3488388740904722,0.44216744513675293,0.5159063152457514,0.598301241485689,0.6712922811070615,0.7503520090234733,0.8441367141162222,0.9629540009288415,1.0929005849727844,1.2803593361243242,1.4868098913863683,1.6870835152244739,1.8048432632518558,1.722792448305759,1.3481812844652798,0.3224365603868994,0.5022311962714974,0.6664253067044029,0.6575351940323255,0.6334488913460323,0.5001704456502354,0.3565558744893955,0.22356336340918956,0.13475181670571118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26422842712422134,0.2963785672051234,0.3028122312715611,0.26083468661926396,0.21733447550773416,0.149672300543613,0.08335138793237405,0.04093933506939727,0.017206022682356756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057189663434242324,0.17431842444190948,0.3722908366866189,0.6149822307156555,0.9153450867271614,1.2444236219441929,1.4579598195783021,1.6133135682573507,1.6819196788472812,1.886650684294646,2.0277640192239255,2.0452286787497895,1.8551515420034197,1.4002184694622521,0.7241645774337225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.740100254605743,-13.648628854463931,-9.677551356216068,-6.696512411554463,-4.616930438102756,-3.1550001619437276,-2.212434719548875,-1.5918322561037146,-1.157638731784578,-0.8380528030753707,-0.6040994900932838,-0.4301512195476964,-0.306129261270722,-0.23095220952688778,-0.19872914687217835,-0.20129309787981323,0.7996833963962496,0.8394253895808056,0.0,1.6391087859770552
7,1,0.7024369031038197,0.7024369031038197,1.1120471351495047,0.6814117131038366,1.16,5.518429233393908,6.176944428510307,0.6585151930348941,2.8688645735310994,0.2105718282798605,8.047172034915167,5.0823502776427585,1.662728532064616,1.241046722050811,0.5253915366725139,0.6996265695106626,0.16,0.2580592648649607,0.0,0.12918638936489324,0.643,0.41214496963134456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328712397320422,0.3328712397320422,0.3328712397320422,0.3328712397320422,0.3328712397320422,0.3328712397320422,0.3328712397320422,0.26901375753407747,0.3558257823584141,0.4508038487475428,0.5256932942205498,0.6092435976273363,0.6825601549806377,0.7636946993256332,0.8601862502445308,0.9839210552077351,1.1148541584110137,1.3036362444482406,1.506881631647778,1.6991064425321383,1.8095762456745177,1.7235063210372177,1.342327289703664,0.32362148429233756,0.5042346064211908,0.6695401509553421,0.6619020785604424,0.6393160826788884,0.5088660034984014,0.3637639157165464,0.22574023607244184,0.13474546334115384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2655316916655008,0.2979793379683935,0.3047742815594253,0.2633612958711369,0.2204301953743696,0.15407900776921732,0.08671787022779578,0.041530003692584125,0.017241770632427027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057493020885071376,0.1760946414926258,0.3771812302354949,0.623546947781393,0.9260505981239321,1.2650744677226426,1.4908658176320144,1.6577942828067398,1.7258563019519855,1.93048727582298,2.0623984495436654,2.063718725314837,1.8612038985102488,1.400245367202489,0.7191035468902327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.320667995886623,-13.379402812929142,-9.515190278539807,-6.605320683387829,-4.568080491416803,-3.140102553605402,-2.1841684266151624,-1.55890812887525,-1.1274190130341026,-0.8194325880464451,-0.5929414618729206,-0.42526582019509507,-0.3069730490610572,-0.23263756554145718,-0.19940698233014367,-0.2023376272185379,0.8131760444228414,0.8232897320200155,0.0,1.636465776442857
8,1,0.6983907197049358,0.6983907197049358,1.1198755780439216,0.6962247333521281,1.16,5.626893522552716,6.285408713614064,0.6585151930348941,2.8914487028983102,0.21254507025912925,8.167615935789879,5.169482920843438,1.6949695070654949,1.241046722050811,0.5332551950312391,0.7072216611573314,0.16,0.2491255076860753,0.0,0.12917620155354917,0.643,0.41828065128664915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33782675808042645,0.33782675808042645,0.33782675808042645,0.33782675808042645,0.33782675808042645,0.33782675808042645,0.33782675808042645,0.274531485711322,0.3629687322070179,0.4596429382510047,0.5357175140983442,0.6204710494114014,0.6946159809821412,0.7756828040121623,0.8737670219196509,1.001130548825679,1.1380968854004714,1.328589554337768,1.5328594741005954,1.7204428605371298,1.8207796054677927,1.7264253225728137,1.3416455235976035,0.32457511227281893,0.5059086987640249,0.6722078308893407,0.6657250652760129,0.6445772283915446,0.5156516594429941,0.3728109040588444,0.23131487333499984,0.13577421537161138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26657774640996784,0.29930304214786335,0.30643505757403255,0.26554761347196043,0.22318423348750233,0.15752634361704757,0.09089473541744439,0.04308112580262568,0.01740924956368269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057945408294871964,0.17819359688315978,0.38257194984856824,0.6328327504995804,0.9399461256116922,1.2810020848197112,1.5156966007814856,1.6941109762077218,1.7727588777720178,1.977801874818041,2.1071859764509107,2.0959917773732823,1.8752586829425422,1.4023449967195711,0.7174332947999688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.89160945647687,-13.096927404782061,-9.339926907130256,-6.503213340742625,-4.511236771803384,-3.109679312393031,-2.174428823853369,-1.5393052318516116,-1.105492732692831,-0.7990364122403486,-0.5804619110189397,-0.41790020677661444,-0.3038221266974809,-0.2335330316923255,-0.20107715987988603,-0.20323036267708142,0.8271172673349502,0.8066840358659365,0.0,1.6338013032008867
9,1,0.6941781814178498,0.6941781814178498,1.1281233698889013,0.7111491133909676,1.16,5.737090545528394,6.395605739571528,0.6585151930348941,2.9124491803079584,0.2142986029602648,8.287527735079522,5.257200668041499,1.7260905928938755,1.241046722050811,0.5410841116084453,0.7166849180296195,0.16,0.24040500940675968,0.0,0.12921259421531955,0.643,0.42454115590119823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34288309040508674,0.34288309040508674,0.34288309040508674,0.34288309040508674,0.34288309040508674,0.34288309040508674,0.34288309040508674,0.2801192130772442,0.37023551934757704,0.46864745301626837,0.5459464144661299,0.6319386637619041,0.7069427245546109,0.7886040332232588,0.8854895098160541,1.0143319205024497,1.1563802005908048,1.3549756465665086,1.5606937712524915,1.7484037872476097,1.8418561469822445,1.7354326186801052,1.3426247416386432,0.3254151198947641,0.5073322330905976,0.6745190616893179,0.6690805078402426,0.6492572789495339,0.5217616316997374,0.3800472994436079,0.2383818429813601,0.13784352723131588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2674878565745141,0.30041440224493265,0.3078506997913651,0.2674370418712467,0.22559385913955113,0.16058139644273756,0.09424273586871218,0.04509823629448306,0.017781121168255882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05862535835689941,0.1807010240220411,0.3885689214913317,0.6429232497329249,0.954926123005522,1.3007553387076574,1.5354101723954954,1.72172243123684,1.810480290396868,2.0284715966955997,2.1557432240517898,2.1385348746175326,1.9019260225231842,1.4106443592906948,0.7169031115463237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.465810521860373,-12.807761910117604,-9.155404293928685,-6.392261254282558,-4.447135858552286,-3.074107806470232,-2.1545721517805836,-1.5324122061349428,-1.0928281276371679,-0.7844899566281003,-0.5667154728575861,-0.4096006106402912,-0.29890255371134594,-0.23139749052808645,-0.20207543149652898,-0.20514358292400872,0.8411521068866398,0.7898751758509593,0.0,1.6310272827375991
